Date,Ticker,Close
2025-08-26,AAPL,229.30999755859375
2025-08-27,AAPL,230.49000549316406
2025-08-28,AAPL,232.55999755859375
2025-08-29,AAPL,232.13999938964844
2025-09-02,AAPL,229.72000122070312
2025-09-03,AAPL,238.47000122070312
2025-09-04,AAPL,239.77999877929688
2025-09-05,AAPL,239.69000244140625
2025-09-08,AAPL,237.8800048828125
2025-09-09,AAPL,234.35000610351562
2025-09-10,AAPL,226.7899932861328
2025-09-11,AAPL,230.02999877929688
2025-09-12,AAPL,234.07000732421875
2025-09-15,AAPL,236.6999969482422
2025-09-16,AAPL,238.14999389648438
2025-09-17,AAPL,238.99000549316406
2025-09-18,AAPL,237.8800048828125
2025-09-19,AAPL,245.5
2025-09-22,AAPL,256.0799865722656
2025-09-23,AAPL,254.42999267578125
2025-09-24,AAPL,252.30999755859375
2025-09-25,AAPL,256.8699951171875
2025-08-26,NVDA,181.75975036621094
2025-08-27,NVDA,181.5897674560547
2025-08-28,NVDA,180.1598358154297
2025-08-29,NVDA,174.170166015625
2025-09-02,NVDA,170.77037048339844
2025-09-03,NVDA,170.61038208007812
2025-09-04,NVDA,171.65032958984375
2025-09-05,NVDA,167.01058959960938
2025-09-08,NVDA,168.30050659179688
2025-09-09,NVDA,170.7503662109375
2025-09-10,NVDA,177.32000732421875
2025-09-11,NVDA,177.1699981689453
2025-09-12,NVDA,177.82000732421875
2025-09-15,NVDA,177.75
2025-09-16,NVDA,174.8800048828125
2025-09-17,NVDA,170.2899932861328
2025-09-18,NVDA,176.24000549316406
2025-09-19,NVDA,176.6699981689453
2025-09-22,NVDA,183.61000061035156
2025-09-23,NVDA,178.42999267578125
2025-09-24,NVDA,176.97000122070312
2025-09-25,NVDA,177.69000244140625
2025-08-26,AMZN,228.7100067138672
2025-08-27,AMZN,229.1199951171875
2025-08-28,AMZN,231.60000610351562
2025-08-29,AMZN,229.0
2025-09-02,AMZN,225.33999633789062
2025-09-03,AMZN,225.99000549316406
2025-09-04,AMZN,235.67999267578125
2025-09-05,AMZN,232.3300018310547
2025-09-08,AMZN,235.83999633789062
2025-09-09,AMZN,238.24000549316406
2025-09-10,AMZN,230.3300018310547
2025-09-11,AMZN,229.9499969482422
2025-09-12,AMZN,228.14999389648438
2025-09-15,AMZN,231.42999267578125
2025-09-16,AMZN,234.0500030517578
2025-09-17,AMZN,231.6199951171875
2025-09-18,AMZN,231.22999572753906
2025-09-19,AMZN,231.47999572753906
2025-09-22,AMZN,227.6300048828125
2025-09-23,AMZN,220.7100067138672
2025-09-24,AMZN,220.2100067138672
2025-09-25,AMZN,218.14999389648438
